misspelling,correct_word
 oni,one
 oin,one
 eno,one
 eon,one
 noen,one
 non,one
 oenr,one
 onn,one
haz,has
 hsas,has
 hasss,has
 hasa,has
 hase,has
 hazz,has
 hasi,has
 hasx,has
 hazs,has
 hasy,has
their,their
 theri,their
 thier,their
 tiher,their
 tehir,their
 thair,their
 thihr,their
 threir,their
 thirr,their
 tiyr,their
bein,been
bean,been
bien,been
beni,been
beem,been
beein,been
beenr,been
beenn,been
beinj,been
beeni,been
willo,will
 wull,will
 wiil,will
 wilol,will
 wuil,will
 wili,will
 wlll,will
 wlii,will
 wlil,will
 wulli,will
therer,there
 therre,there
 thierre,there
 thirre,there
 theri,there
 therri,there
 therrie,there
 therr,there
 therrii,there
 therrie,there
cna,can
 cnan,can
 cnaa,can
 cnae,can
 cnai,can
 cnal,can
 cnam,can
 cnas,can
 cnat,can
 cnav,can
i,if
f,if
iffy,if
ify,if
ifn,if
ifs,if
iuf,if
ivf,if
ief,if
ife,if
ifd,if
othr,other
 othre,other
 otther,other
 othr,other
 otheer,other
 othir,other
 othyr,other
 othur,other
 othere,other
 othor,other
wud,would
 woul,would
 woild,would
 woudl,would
 wouid,would
 wodld,would
 woldd,would
 wuold,would
 wuild,would
 wuld,would
nol,no
 nono,no
 nobe,no
 noi,no
 nomo,no
 noto,no
 nouo,no
 novio,no
 noma,no
 noblo,no
heer,her
 heree,her
 heirre,her
 heri,her
 hewr,her
 heur,her
 heor,her
 heyr,her
 heee,her
 heerw,her
 heere,her
may,may
maye,may
maey,may
mayy,may
mayyy,may
mayie,may
mayee,may
mayey,may
mayeyy,may
mayiae,may
moro,more
 morie,more
 moare,more
 mroe,more
 mori,more
 moer,more
 moeir,more
 moier,more
 moire,more
 moor,more
wehn,when
 wenh,when
 whne,when
 whemn,when
 wneh,when
 whenn,when
 whien,when
 whern,when
 whewn,when
 whnem,when
so,so
sou,so
soe,so
soi,so
soa,so
soh,so
soo,so
soom,so
sool,so
soot,so
iits,its
 itts,its
 itsa,its
 itse,its
 itso,its
 itst,its
 itss,its
 ittu,its
 ittw,its
 itys,its
whow,who
 whou,who
 wohu,who
 whuo,who
 whouh,who
 whoue,who
 whoug,who
 whouq,who
 whour,who
 whoux,who
suach,such
 sucxh,such
 suhc,such
 suych,such
 sucx,such
 suhhc,such
 succch,such
 suuuch,such
 suucch,such
 suucch,such
thesee,these
 thse,these
 theeese,these
 tehse,these
 thesee,these
 thiese,these
 thesee,these
 thosse,these
 thiesse,these
 theise,these
anyn,any
 anye,any
 anny,any
 aniy,any
 anay,any
 anie,any
 anyy,any
 anyni,any
 anyi,any
 anynu,any
shi,she
 shie,she
 shye,she
 shue,she
 shu,she
 shhie,she
 shhee,she
 shyee,she
 shiee,she
 shhe,she
neew,new
 neiw,new
 neuw,new
 newe,new
 nuwe,new
 nwew,new
 neuw,new
 niew,new
 neiw,new
 nuow,new
tymie,time
 timme,time
 tyme,time
 tiem,time
 timi,time
 teme,time
 timae,time
 timo,time
 timse,time
 timre,time
than,than
 thaan,than
 thaen,than
 thenn,than
 thane,than
 thain,than
 tahhn,than
 taan,than
 tehna,than
 thnea,than
dod,do
 doo,do
 dooo,do
 dooi,do
 dool,do
 doom,do
 doom,do
 doon,do
 doou,do
 doow,do
summe,some
 smoe,some
 soem,some
 somm,some
 sime,some
 simme,some
 smo,some
 sme,some
 soim,some
 soym,some
whaet,what
 whhat,what
 wuat,what
 wahat,what
 whait,what
 whatt,what
 whta,what
 whaat,what
 whaut,what
 whhet,what
onli,only
 lonly,only
 onnly,only
 olney,only
 olny,only
 olnee,only
 onlie,only
 onelye,only
 onllye,only
 onoley,only
inot,into
 intyo,into
 itno,into
 inot,into
 invto,into
 iinto,into
 inti,into
 intp,into
 intu,into
 intl,into
them,them
tehm,them
thmeem,them
thhemm,them
thhem,them
thim,them
thym,them
thomm,them
thoem,them
thiem,them
thhemm,them
toow,two
 tooo,two
 twi,two
 towi,two
 tww,two
 twew,two
 twio,two
 twol,two
 twom,two
 twou,two
alsow,also
 alsio,also
 alseo,also
 alsu,also
 aslo,also
 alsol,also
 alsos,also
 alsot,also
 alsou,also
 alsuo,also
 alsy,also
aobut,about
 bout,about
 abouot,about
 aubout,about
 autobt,about
 auoit,about
 abuot,about
 aoout,about
 aboout,about
 aboug,about
ouyt,out
 ount,out
 ouat,out
 otu,out
 uot,out
 oyt,out
 uto,out
 otut,out
 oult,out
 outt,out
him,him
hihm,him
himn,him
himm,him
himl,him
himbm,him
himmm,him
himnn,him
himss,him
himtt,him
himww,him
my,my
mie,my
miy,my
myi,my
mye,my
mya,my
myo,my
myu,my
myb,my
myd,my
myf,my
saiid,said
 saidd,said
 saiad,said
 saied,said
 saiad,said
 saide,said
 saiedd,said
 saaied,said
 saeied,said
 saaided,said
up,up
 upu,up
 uop,up
 pu,up
 yupp,up
 upi,up
 upo,up
 puy,up
 upy,up
 pup,up
ouyr,our
 uryo,our
 oure,our
 oeur,our
 uor,our
 ouir,our
 urou,our
 ouro,our
 ouer,our
 ouar,our
firist,first
 fisrt,first
 firrst,first
 firsst,first
 firist,first
 fisrt,first
 firset,first
 firistt,first
 fisrte,first
 firrs,first
shouuld,should
 shoulld,should
 shouold,should
 shoulel,should
 shouel,should
 shoudl,should
 shoudle,should
 shouod,should
 shuoould,should
 shulld,should
uneder,under
 undir,under
 uner,under
 undre,under
 undr,under
 underd,under
 undur,under
 undar,under
 undor,under
 undirn,under
maed,made
 mdae,made
 madde,made
 maede,made
 madd,made
 madi,made
 madie,made
 madne,made
 madre,made
 madse,made
Staet,State
 Sttae,State
 Statte,State
 Staite,State
 Stete,State
 Statie,State
 Stait,State
 Stae,State
 Stat,State
 Steate,State
seeee,see
 sezi,see
 sesi,see
 secie,see
 sede,see
 sece,see
 sete,see
 sese,see
 siie,see
 seiie,see
afetr,after
 aftre,after
 afteir,after
 aftter,after
 aftet,after
 aftur,after
 aftir,after
 aftor,after
 aftsr,after
 afttr,after
cudld,could
 coulde,could
 cudel,could
 coudl,could
 couid,could
 cuold,could
 coild,could
 coule,could
 cudul,could
 coudl,could
 coulid,could
then,then
 tehnn,then
 thernn,then
 thenne,then
 thennn,then
 thenee,then
 thenni,then
 thenne,then
 thennu,then
 thennx,then
me,me
mee,me
memi,me
emmi,me
emme,me
mmie,me
emmee,me
memie,me
emmiie,me
memmie,me
memmiee,me
moist,most
 moatst,most
 moast,most
 moost,most
 moosts,most
 moyst,most
 moystt,most
 moats,most
 moaest,most
 moiest,most
ovver,over
 oevr,over
 ovir,over
 ovar,over
 oveer,over
 ovr,over
 evor,over
 ovars,over
 ovre,over
 oiver,over
veri,very
 veriy,very
 verrye,very
 veery,very
 veyry,very
 virey,very
 viery,very
 vory,very
 voyre,very
 vrey,very
yur,your
 youyr,your
 yor,your
 yuor,your
 yuoer,your
 yoour,your
 yoor,your
 yowr,your
 yeur,your
 yore,your
betweeen,between
 betwien,between
 btween,between
 bewteen,between
 betwen,between
 btewen,between
 betwein,between
 btweenn,between
 betweeN,between
 btewn,between
weher,where
 wherw,where
 werre,where
 wherr,where
 wiere,where
 whire,where
 whera,where
 wherei,where
 whero,where
 wherri,where
noow,now
 notw,now
 nouw,now
 nowe,now
 nooow,now
 novw,now
 nwoow,now
 nwow,now
 nooww,now
 nonw,now
shol,shall
 shalll,shall
 shal,shall
 shll,shall
 shawl,shall
 shallo,shall
 shalle,shall
 shaul,shall
 shallle,shall
 shalla,shall
worke,work
 wrok,work
 werck,work
 wuork,work
 woirk,work
 woerk,work
 wourk,work
 wokr,work
 wroik,work
 wrko,work
thosse,those
 thoese,those
 thoose,those
 thosee,those
 thoes,those
 thoees,those
 thoosee,those
 thosie,those
 thois,those
 thoesse,those
samme,same
 semm,same
 saem,same
 samm,same
 seamme,same
 samie,same
 seim,same
 semi,same
 saime,same
 sema,same
weell,well
 wellel,well
 welldo,well
 welles,well
 wellet,well
 welley,well
 wellye,well
 welwel,well
 weoll,well
 weldle,well
eaqh,each
 eatch,each
 ech,each
 eech,each
 eahc,each
 ecah,each
 eacch,each
 eache,each
 eich,each
 eeche,each
manay,many
 mani,many
 mnae,many
 mnay,many
 mamy,many
 maeny,many
 mane,many
 manyn,many
 manye,many
 manym,many
beign,being
 beeing,being
 beiing,being
 beinng,being
 beijng,being
 beying,being
 beong,being
 beiging,being
 beeng,being
 beinig,being
yeirs,years
 yeras,years
 yeris,years
 yeers,years
 yers,years
 yeras,years
 yairs,years
 yaers,years
 yrears,years
 yerres,years
