misspelling,correct_word
 oni,one
 onn,one
 oin,one
 noen,one
 non,one
 oon,one
 eno,one
 eon,one
haz,has
 hsas,has
 hasss,has
 hasa,has
 hase,has
 hazz,has
 hasi,has
 hasx,has
 hazs,has
 hasy,has
their,their
 theri,their
 thier,their
 tiher,their
 tehir,their
 tehre,their
 thire,their
 tiere,their
 terhi,their
 tihre,their
 thir,their
bean,been
 beneen,been
 benne,been
 bein,been
 beem,been
 bemn,been
 benn,been
 beni,been
 benm,been
 benneen,been
willo,will
 wull,will
 wiil,will
 wilil,will
 wuil,will
 wili,will
 wlll,will
 whill,will
 wulli,will
 wliil,will
therer,there
 therre,there
 thierre,there
 theirr,there
 therir,there
 theri,there
 therur,there
 therar,there
 theror,there
 therer,there
cna,can
 cnan,can
 cnaa,can
 cnae,can
 cnai,can
 cnal,can
 cnam,can
 cnas,can
 cnat,can
 cnau,can
i,if
f,if
iffy,if
ifi,if
fiel,if
filf,if
ifid,if
ifee,if
ifie,if
filfe,if
ifil,if
othr,other
 othre,other
 otther,other
 othr,other
 otheer,other
 othir,other
 othyr,other
 othur,other
 othere,other
 othor,other
wud,would
 woulld,would
 woild,would
 wouid,would
 woudl,would
 wuold,would
 wodl,would
 woidl,would
 woulld,would
 wuild,would
nol,no
 nobo,no
 nono,no
 noto,no
 noio,no
 nomo,no
 nogi,no
 nohi,no
 noki,no
 noro,no
heirr,her
 heree,her
 hreer,her
 herie,her
 heor,her
 herea,her
 herra,her
 herae,her
 heare,her
 herr,her
may,may
maye,may
maey,may
mayy,may
mayyy,may
mayie,may
mayee,may
mayey,may
mayeyy,may
mayyyy,may
moro,more
 morie,more
 moare,more
 mrore,more
 mori,more
 moere,more
 morae,more
 moroe,more
 moirre,more
 moire,more
wehn,when
 wenh,when
 whne,when
 whemn,when
 wneh,when
 whenn,when
 whien,when
 whern,when
 whewn,when
 whenh,when
so,so
sou,so
soe,so
soi,so
soa,so
soh,so
soo,so
soo,so
,so
sot,so
suo,so
sol,so
iits,its
 itss,its
 itsa,its
 itse,its
 itso,its
 itst,its
 itus,its
 itys,its
 itiz,its
 itis,its
whow,who
 wohu,who
 whou,who
 whio,who
 whuo,who
 whol,who
 whom,who
 whiu,who
 whoi,who
 whoua,who
suach,such
 sucxh,such
 suhc,such
 suych,such
 sucx,such
 suhhc,such
 suyc,such
 suhch,such
 suyhc,such
 suychh,such
thesee,these
 thse,these
 theeese,these
 tehse,these
 theis,these
 thiese,these
 thosse,these
 thesee,these
 tehes,these
 theise,these
anyn,any
 anye,any
 anny,any
 aniy,any
 anay,any
 anie,any
 anyy,any
 anyni,any
 anyi,any
 anynu,any
shi,she
 shie,she
 shye,she
 shre,she
 shle,she
 shue,she
 shae,she
 shce,she
 shde,she
 shpe,she
neew,new
 neqw,new
 neuw,new
 newe,new
 nuwe,new
 nwew,new
 neiw,new
 niew,new
 neuw,new
 nevw,new
tymie,time
 timme,time
 tyme,time
 tiem,time
 timi,time
 timse,time
 timae,time
 timbe,time
 timoe,time
 timre,time
than,than
 thaan,than
 thaen,than
 thane,than
 thnaa,than
 thann,than
 tahnn,than
 taanhn,than
 tahn,than
 thnna,than
dod,do
 doo,do
 dooo,do
 dooi,do
 dool,do
 doom,do
 doon,do
 doou,do
 dov,do
 dou,do
summe,some
 sime,some
 soem,some
 somm,some
 soom,some
 seme,some
 simme,some
 soim,some
 soym,some
 sme,some
wath,what
 wahat,what
 whta,what
 wuat,what
 quat,what
 whiat,what
 wht,what
 qhat,what
 whaet,what
 whait,what
onli,only
 lonly,only
 onnly,only
 olney,only
 olny,only
 onlie,only
 lonely,only
 onny,only
 olony,only
 onoly,only
inot,into
 intyo,into
 itno,into
 inot,into
 inti,into
 intoo,into
 intu,into
 invto,into
 iinto,into
 intol,into
them,them
tehm,them
thmeem,them
thhemm,them
thim,them
thym,them
thomm,them
thiem,them
thhem,them
thimem,them
themme,them
toow,two
 tooo,two
 twi,two
 towl,two
 tww,two
 twio,two
 twol,two
 twom,two
 twou,two
 twot,two
alsow,also
 alse,also
 alsio,also
 aslo,also
 alsol,also
 alaso,also
 alsos,also
 alsu,also
 alsy,also
 alsolw,also
 alsot,also
aobut,about
 bout,about
 abouot,about
 aubout,about
 autobt,about
 auoit,about
 abuot,about
 aoout,about
 atbout,about
 Aubout,about
ouyt,out
 ount,out
 ouat,out
 otu,out
 uot,out
 oyt,out
 uto,out
 otut,out
 oult,out
 outt,out
him,him
himn,him
hihm,him
himm,him
ihm,him
himl,him
himk,him
himj,him
himq,him
himb,him
himz,him
my,my
mie,my
miy,my
moy,my
myi,my
mym,my
yim,my
ymi,my
ymo,my
ymy,my
sade,said
 saiid,said
 saiid,said
 sadi,said
 sadie,said
 saied,said
 saide,said
 saidd,said
 saidy,said
 sead,said
up,up
 upu,up
 uop,up
 pu,up
 yupp,up
 upi,up
 puy,up
 upo,up
 pup,up
 uup,up
ouyr,our
 urr,our
 oeur,our
 oure,our
 ouir,our
 ouar,our
 ouer,our
 ouel,our
 oual,our
 ouil,our
firist,first
 fisrt,first
 firtst,first
 firrst,first
 firset,first
 fistt,first
 fiirst,first
 firist,first
 firsst,first
 firistt,first
shouuld,should
 shoulld,should
 shouleld,should
 shouold,should
 shuold,should
 shulld,should
 shoullld,should
 shouuld,should
 sholud,should
 shouuld,should
uneder,under
 undre,under
 undir,under
 uner,under
 undr,under
 undur,under
 undar,under
 undor,under
 undirr,under
 undurr,under
maed,made
 mdae,made
 mdde,made
 maee,made
 madie,made
 madne,made
 madee,made
 madre,made
 madii,made
 madda,made
Staet,State
 Sttae,State
 Statte,State
 Staite,State
 Stete,State
 Statie,State
 Stait,State
 Stat,State
 Steate,State
 Setat,State
seeee,see
 sezi,see
 sesi,see
 sesea,see
 seea,see
 seie,see
 seiie,see
 seii,see
 seio,see
 seise,see
afetr,after
 aftre,after
 afteir,after
 aftter,after
 aftor,after
 aftur,after
 aftet,after
 aftser,after
 aftcer,after
 aftter,after
cudld,could
 coulde,could
 cuold,could
 coudl,could
 cudol,could
 coulod,could
 cuild,could
 coild,could
 culd,could
 coud,could
then,then
 tehnn,then
 thernn,then
 thenne,then
 thenni,then
 thenee,then
 thennu,then
 thener,then
 thenni,then
 thenne,then
maem,me
 meme,me
 mei,me
 mme,me
 mmee,me
 mee,me
 mmea,me
 memae,me
 maeme,me
 meme,me
moist,most
 moatst,most
 moast,most
 moost,most
 moosts,most
 moyst,most
 moystt,most
 moats,most
 moaest,most
 moasst,most
ovver,over
 oevr,over
 ovir,over
 ovar,over
 oveer,over
 evor,over
 oevvr,over
 ovre,over
 oevr,over
 ovars,over
veri,very
 veriy,very
 verrye,very
 veery,very
 veyry,very
 virey,very
 viery,very
 vrey,very
 vriey,very
 vury,very
yur,your
 youyr,your
 yor,your
 yuor,your
 yoour,your
 yuoer,your
 yoor,your
 yowr,your
 yeur,your
 yorou,your
betwee,between
 betwien,between
 betwin,between
 btween,between
 btweenn,between
 btwen,between
 btwn,between
 btweeen,between
 btweenne,between
 btweeny,between
 btweeni,between
wherr,where
 whare,where
 werre,where
 wherw,where
 wherrr,where
 whaere,where
 wherrr,where
 werae,where
 whirre,where
 wherew,where
noow,now
 notw,now
 nouw,now
 nowe,now
 noiw,now
 nwo,now
 nwow,now
 novw,now
 nooow,now
 nonw,now
shol,shall
 shalll,shall
 shal,shall
 shll,shall
 shallle,shall
 shalle,shall
 shallo,shall
 shalla,shall
 shalp,shall
 shalr,shall
 shalq,shall
worke,work
 wrok,work
 wrk,work
 wourk,work
 wuork,work
 woerk,work
 wroak,work
 wrok,work
 werck,work
 weirk,work
 wierc,work
thosse,those
 thoese,those
 thoose,those
 thosee,those
 thoes,those
 thoos,those
 thoosee,those
 thoses,those
 thoosea,those
 thosae,those
 thooes,those
samme,same
 semm,same
 saem,same
 seamme,same
 samie,same
 seim,same
 samm,same
 saime,same
 semme,same
 semi,same
wel,well
l,well
 wellel,well
 welldo,well
 welles,well
 wellet,well
 welley,well
 wellye,well
 wellyl,well
 wellyp,well
 wellyy,well
eaqh,each
 eatch,each
 ech,each
 eech,each
 eahc,each
 ecah,each
 eacch,each
 eiech,each
 eoch,each
 eeche,each
manay,many
 mani,many
 mnae,many
 mnay,many
 mamy,many
 maeny,many
 mane,many
 manyn,many
 manu,many
 manvy,many
beign,being
 beeing,being
 beinng,being
 beiing,being
 beijng,being
 beking,being
 beming,being
 benig,being
 benging,being
 beong,being
yeirs,years
 yeras,years
 yeris,years
 yeers,years
 yers,years
 yerar,years
 yeas,years
 yera,years
 yerars,years
 yerias,years
did,did
diid,did
didd,did
deed,did
dedd,did
ddi,did
ddie,did
deeid,did
deiid,did
deid,did
deidd,did
yeir,year
 yeaer,year
 yeare,year
 yerar,year
 yaer,year
 yerae,year
 yeirr,year
 yeaer,year
 yrear,year
 yreer,year
thruogh,through
 thruegh,through
 throuhg,through
 throguh,through
 throughe,through
 thrugh,through
 throuh,through
 thurough,through
 thourgh,through
 thourg,through
mustr,must
 musdt,must
 muste,must
 mussst,must
 moust,must
 musat,must
 musrt,must
 musstt,must
 muyst,must
 musta,must
uppon,upon
 upin,upon
 uopon,upon
 poun,upon
 ponu,upon
 puon,upon
 yupn,upon
 yupon,upon
 upno,upon
 pupon,upon
befor,before
 befroe,before
 befoer,before
 befour,before
 befre,before
 befir,before
 beforre,before
 bevore,before
 bevoire,before
 bevoree,before
 befori,before
liker,like
 lkie,like
 likke,like
 lkike,like
 lilke,like
 liki,like
 liik,like
 likie,like
 lilk,like
 liky,like
usse,use
 usseu,use
 uese,use
 usie,use
 usse,use
 yuse,use
 husse,use
 musee,use
 usue,use
 suze,use
parrt,part
 paret,part
 parst,part
 patrt,part
 prat,part
 paert,part
 parett,part
 partt,part
 parrtt,part
 parat,part
genral,general
 generl,general
 genneral,general
 generall,general
 generil,general
 geniral,general
 generel,general
 genreral,general
 genraly,general
 genirial,general
 gennerel,general
peopel,people
 pepole,people
 peopele,people
 pople,people
 peeple,people
 peepol,people
 peopil,people
 peopoe,people
 peopul,people
 peopoele,people
becaue,because
 becusee,because
 beacuse,because
 becuase,because
 becuzee,because
 becausse,because
 becusse,because
 becasue,because
 becusee,because
 becsue,because
 becusse,because
usde,used
 usid,used
 usud,used
 usse,used
 usxe,used
 usedt,used
 uselt,used
 userd,used
 usead,used
 usedd,used
hwo,how
 houw,how
 hoow,how
 hwow,how
 hwoa,how
 houew,how
 hwoe,how
 houw,how
 hwoi,how
 houiw,how
evven,even
 evne,even
 eeven,even
 evn,even
 evewn,even
 evvvn,even
 eviin,even
 evvin,even
 evien,even
 evenn,even
mucj,much
 mouch,much
 muhc,much
 mucuh,much
 muchh,much
 mufch,much
 muckh,much
 mugh,much
 mukc,much
 muth,much
durin,during
gurind,during
duiring,during
durnig,during
duirng,during
durng,during
diurning,during
durign,during
duiring,during
duirnig,during
durnying,during
bothe,both
 botth,both
 boht,both
 bouth,both
 bouhth,both
 boith,both
 botih,both
 bouoth,both
 boitht,both
 botht,both
cass,case
 cesse,case
 caze,case
 cease,case
 casie,case
 cezze,case
 caes,case
 cace,case
 cesas,case
 cazee,case
 cesae,case
thre,three
 thir,three
 threr,three
 throe,three
 thri,three
 threa,three
 threer,three
 threri,three
 thrie,three
 threar,three
numbre,number
 numburr,number
 nummber,number
 numberr,number
 numbrer,number
 numbere,number
 numbeer,number
 numbrr,number
 nummber,number
 numberr,number
 numbreer,number
mkae,make
 makie,make
 maek,make
 maeke,make
 makee,make
 maki,make
 maik,make
 maoke,make
 maqke,make
 muke,make
peir,per
 perre,per
 perrr,per
 peor,per
 pirr,per
 paree,per
 pear,per
 peirr,per
 prer,per
 prer,per
gr8ate,great
 greit,great
 gratee,great
 grreat,great
 greate,great
 gratte,great
 greete,great
 gratea,great
 greitie,great
 graite,great
Acct,Act
 Acxt,Act
 Acht,Act
 Actt,Act
 Cact,Act
 Ctac,Act
 Tcac,Act
 Tacx,Act
 Tact,Act
 Axct,Act
wey,way
 wai,way
 wya,way
 waay,way
 wea,way
 wae,way
 waw,way
 waii,way
 waea,way
 waye,way
liefe,life
 liffe,life
 liffie,life
 lyfe,life
 lfie,life
 lifye,life
 leife,life
 libe,life
 lide,life
 liff,life
gooed,good
 goiod,good
 gooode,good
 goud,good
 good,good
 gooodd,good
 gooiid,good
 goodd,good
 gooodo,good
 gooid,good
dya,day
 dey,day
 dae,day
 dai,day
 daz,day
 dyae,day
 daye,day
 daey,day
 dyea,day
 deya,day
puplic,public
 pbulic,public
 pubilc,public
 publiuc,public
 pubblic,public
 publick,public
 pulbic,public
 pbulic,public
 publc,public
 pubblic,public
maann,man
 mannna,man
 manne,man
 mman,man
 mmann,man
 maannn,man
 mnna,man
 mnan,man
 mnnaa,man
 mnnan,man
hoeverr,however
 hoever,however
 hovver,however
 howefer,however
 hoveer,however
 hoevr,however
 hovwer,however
 howvir,however
 hovir,however
 hovrer,however
sistem,system
 systim,system
 sistim,system
 sistemn,system
 sytem,system
 systeem,system
 systym,system
 sistymn,system
 systimn,system
 sysytem,system
watter,water
 wtaer,water
 wtater,water
 wateer,water
 waeter,water
 weteer,water
 watere,water
 wataer,water
 watar,water
 wteer,water
witnout,without
 wothout,without
 wihtout,without
 wihout,without
 wiothout,without
 wotthout,without
 wuthout,without
 wiythout,without
 wothwut,without
 wothout,without
uiss,us
 usis,us
 uas,us
 usd,us
 usy,us
 usp,us
 usl,us
 usm,us
 usn,us
 usr,us
govvment,government
 govermnent,government
 govemment,government
 govermnet,government
 govermint,government
 govermentt,government
 govermentn,government
 govermnt,government
 govermennt,government
 goverement,government
 govermente,government
whilie,while
 whiile,while
 wihle,while
 wiile,while
 whlie,while
 whiel,while
 whillie,while
 whiell,while
 whyle,while
 whilie,while
lonng,long
 lpng,long
 lngo,long
 lnog,long
 loni,long
 lng,long
 logn,long
 logn,long
 loong,long
 lpong,long
oreder,order
 oderr,order
 odrer,order
 ordre,order
 ordeir,order
 oredr,order
 odire,order
 oreidr,order
 odirer,order
 ordeer,order
laaw,law
 laiw,law
 laww,law
 laow,law
 lwwa,law
 lwaa,law
 laaew,law
 laiew,law
 laew,law
 laiw,law
sectiion,section
 seciton,section
 seccition,section
 sectoin,section
 secction,section
 sectiuon,section
 seciton,section
 seccttion,section
 sectin,section
 secetion,section
 secshun,section
curort,court
 couirt,court
 cortt,court
 courtt,court
 coourt,court
 cout,court
 corut,court
 curto,court
 cuort,court
 cotur,court
hyie,high
 higy,high
 hiigh,high
 hygh,high
 hgih,high
 higeh,high
 higy,high
 hiygh,high
 hyihe,high
 hieg,high
rite,right
 riteht,right
 wright,right
 wroght,right
 riyht,right
 roight,right
 reight,right
 rytht,right
 wriht,right
 rught,right
 rihgt,right
noewn,own
 noowin,own
 nouwn,own
 owen,own
 owwn,own
 ownn,own
 owne,own
 owon,own
 wown,own
 woown,own
founed,found
 fonud,found
 foudn,found
 fouund,found
 fund,found
 fuond,found
 fumd,found
 fyned,found
 fyd,found
 fudned,found
 fudn,found
Uniynted,United
 Untiedd,United
 Unittted,United
 Uniteed,United
 Unyted,United
 Untiend,United
 Unnited,United
 Unitted,United
 Uniited,United
 Untid,United
 Uinited,United
jusst,just
 jutst,just
 jusat,just
 juste,just
 jusit,just
 jusrt,just
 jusstt,just
 jutsy,just
 jusyt,just
 jusut,just
heare,here
 herre,here
 hirre,here
 heer,here
 heri,here
 heree,here
 heire,here
 heiir,here
 herrie,here
 heari,here
agaynst,against
 agaisnt,against
 agenst,against
 ajainst,against
 ainst,against
 aganst,against
 agaist,against
 agaisn't,against
 agenast,against
 agaynst,against
worlde,world
 wourld,world
 worlld,world
 wrold,world
 wrld,world
 wold,world
 woorld,world
 wourldle,world
 wourldd,world
 wourldl,world
doez,does
 doeis,does
 doos,does
 dose,does
 doese,does
 doies,does
 doois,does
 dooze,does
 dooys,does
 dooes,does
comapny,company
 compnay,company
 cmpnay,company
 cmopany,company
 cimpany,company
 cmpaany,company
 comanpy,company
 compnaey,company
 cmpaniy,company
 cmapny,company
wihtin,within
 wihthin,within
 wiithin,within
 wthiin,within
 wthin,within
 wihthin,within
 whithin,within
 wihthin,within
 wintin,within
 witnin,within
givin,given
 gievn,given
 givien,given
 givin,given
 givn,given
 givin,given
 givven,given
 givenn,given
 givvien,given
 givvin,given
sivcer,service
 servise,service
 serce,service
 servie,service
 serevice,service
 servisee,service
 servisec,service
 servive,service
 servisea,service
 servisee,service
 servisei,service
houese,house
 housses,house
 housie,house
 housis,house
 houese,house
 housse,house
 housies,house
 housi,house
 housse,house
 housis,house
anuother,another
 anothr,another
 anotther,another
 anuther,another
 anotter,another
 anuthur,another
 anotar,another
 anotir,another
 anoter,another
 anouther,another
 anotter,another
pwoer,power
 pworer,power
 pauer,power
 pawer,power
 powre,power
 pouer,power
 poewr,power
 pewor,power
 peower,power
 porew,power
plaxe,place
 placce,place
 pllace,place
 plaace,place
 plcace,place
 plasee,place
 placie,place
 placaee,place
 placce,place
 plalce,place
noow,know
 knwo,know
 knoww,know
 kwno,know
 knoiw,know
 noiw,know
 knwoe,know
 kniow,know
 knwol,know
 knoi,know
litel,little
 littlre,little
 lttlle,little
 litlle,little
 liteal,little
 littel,little
 litlee,little
 littelr,little
 lttlil,little
 liltel,little
 littele,little
dowwn,down
 donw,down
 doun,down
 doune,down
 dowin,down
 downn,down
 doown,down
 duon,down
 dwon,down
 dwn,down
presnt,present
 prsents,present
 preswnt,present
 prezent,present
 preznt,present
 prsent,present
 prasent,present
 priesnt,present
 prizent,present
 prresnt,present
evry,every
 evrey,every
 evri,every
 evrie,every
 evrye,every
 evre,every
 evir,every
 evire,every
 evrir,every
 evrery,every
Natianl,National
 Natiional,National
 Nationall,National
 Natinal,National
 Naitional,National
 Naitonal,National
 Natonal,National
 Natinial,National
 Natinoal,National
 Natioanl,National
 Natiolnal,National
bacc,back
 bacck,back
 baack,back
 bakk,back
 bakc,back
 baxk,back
 beck,back
 baeck,back
 baek,back
 bakkc,back
tkae,take
 takie,take
 taeke,take
 taek,take
 teake,take
 takae,take
 tike,take
 taoke,take
 tkea,take
 tkae,take
 taki,take
inforamtion,information
 informaiton,information
 infromation,information
 infomrtion,information
 infoirmation,information
 infortniation,information
 informaytion,information
 infromatin,information
 infomation,information
 inforamation,information
menn,men
 mene,men
 mehn,men
 meni,men
 mern,men
 merne,men
 meon,men
 mewn,men
 mien,men
 meyn,men
sinse,since
 sincce,since
 sinde,since
 sencee,since
 sinec,since
 sinci,since
 sinxe,since
 sinsa,since
 sincie,since
 sinsec,since
mght,might
 miteh,might
 mighht,might
 mihgt,might
 migt,might
 mitht,might
 mught,might
 mughty,might
 mivht,might
 mith,might
smal,small
 smmll,small
 smalm,small
 smale,small
 smill,small
 smmal,small
 smmael,small
 smmale,small
 smmell,small
 smmull,small
larage,large
 largre,large
 larhe,large
 larege,large
 laerge,large
 larje,large
 largi,large
 larig,large
 laroge,large
 larze,large
schooll,school
 skool,school
 scuol,school
 shcool,school
 schooel,school
 skoull,school
 schoul,school
 scoole,school
 shcooil,school
 skuul,school
flwowing,following
 folliwing,following
 follwoing,following
 followiing,following
 follwingg,following
 flllowing,following
 follwinge,following
 flollowing,following
 follwoeing,following
 folowwing,following
 follwing,following
stil,still
 stlil,still
 stilp,still
 stlill,still
 stiil,still
 stipl,still
 stlil,still
 sttul,still
 sttil,still
 stlll,still
lesss,less
 leass,less
 liss,less
 lesse,less
 lees,less
 leas,less
 lses,less
 llees,less
 llee,less
 llea,less
laast,last
 lasat,last
 laest,last
 lastt,last
 laist,last
 lassat,last
 laastt,last
 laats,last
 laasst,last
 laaast,last
cittie,city
 citiy,city
 ctiy,city
 cytie,city
 citty,city
 citi,city
 ctity,city
 cytie,city
 ctiye,city
 ciytie,city
seconcd,second
 secodn,second
 seccond,second
 secound,second
 secuond,second
 secndd,second
 secnds,second
 secnod,second
 secnond,second
 secxond,second
Ameriacn,American
 Amrican,American
 Amercian,American
 Americna,American
 Amercan,American
 Ameriac,American
 Amreican,American
 Aemrican,American
 Amerrican,American
 Amereican,American
develpment,development
 devolopment,development
 developeement,development
 develepmnt,development
 devlopment,development
 devolvement,development
 devolopment,development
 devolopmnt,development
 devolomment,development
 devoloment,development
 devolopment,development
diffrent,different
 difent,different
 difrent,different
 diffrently,different
 difernet,different
 difernet,different
 diffrnt,different
 difrents,different
 difrenti,different
 difrented,different
 difrently,different
Univirsity,University
 Univrsity,University
 Univeristy,University
 Univerisity,University
 Univrsitiy,University
 Univeristy,University
 Univirsiy,University
 Univeristiy,University
 Univirsity,University
 Univerisy,University
Yorck,York
 Yrok,York
 Yorks,York
 Yrook,York
 Yrork,York
 Yrok,York
 Yorik,York
 Yoruk,York
 Yorox,York
 Yrokk,York
olde,old
 oald,old
 olld,old
 ollod,old
 olldd,old
 olldo,old
 ollda,old
 olle,old
 olldi,old
 olldu,old
forrm,form
 fomr,form
 foorrm,form
 foorm,form
 forim,form
 foma,form
 foirm,form
 foruom,form
 foormm,form
 forrmr,form
poinnt,point
 piont,point
 poiint,point
 ponit,point
 pooint,point
 pint,point
 pount,point
 puont,point
 poynt,point
 pyoing,point
totall,total
 totale,total
 toatal,total
 totil,total
 totell,total
 totol,total
 totle,total
 totolll,total
 totill,total
 totoll,total
databt,data
 datat,data
 dtata,data
 datta,data
 daeta,data
 dati,data
 datsa,data
 dati,data
 dauta,data
 daeta,data
too,too
 twoo,too
 tuu,too
 tuee,too
 toue,too
 tuoe,too
 tooo,too
 tuuu,too
 twou,too
 tuoou,too
Committe,Committee
 Committie,Committee
 Commettie,Committee
 Commitiie,Committee
 Commititee,Committee
 Committeea,Committee
 Commitmee,Committee
 Commitmiie,Committee
 Commitmie,Committee
 Committee,Committee
 Commitimie,Committee
reporrt,report
 reoprt,report
 repirt,report
 repoert,report
 repot,report
 repprot,report
 reporr,report
 reporyt,report
 reporrtt,report
 reoprort,report
businesse,business
 busniesss,business
 buisness,business
 bisiness,business
 bizniss,business
 businnes,business
 businees,business
 busniesses,business
 buseniss,business
 businses,business
 busiennes,business
thnki,think
 thnikk,think
 thniks,think
 thnikin,think
 thniked,think
 thniking,think
 thnikked,think
 thnikkin,think
 thnikked,think
 thnikyn,think
ennd,end
 endd,end
 ened,end
 ende,end
 ennnd,end
 endn,end
 enndd,end
 ende,end
 ennede,end
 endnn,end
geett,get
 gettin,get
 gette,get
 getts,get
 geti,get
 getit,get
 gettin,get
 gettie,get
 getto,get
 gettt,get
sest,set
 cet,set
 sestt,set
 cetts,set
 sesett,set
 cetted,set
 sette,set
 cets,set
 seett,set
 ceti,set
researh,research
 researcch,research
 reserach,research
 reserche,research
 reserch,research
 resesarch,research
 reserachh,research
 reserchee,research
 reserchea,research
 reserchei,research
 resercheo,research
sya,say
 saiy,say
 sasy,say
 saye,say
 syai,say
 saie,say
 sayi,say
 saey,say
 syae,say
 saiy,say
comem,come
 comi,come
 cume,come
 cumm,come
 comee,come
 cmo,come
 cmoe,come
 coome,come
 coume,come
 cume,come
countri,country
 countrry,country
 countrey,country
 coutry,country
 cuntry,country
 contry,country
 courntry,country
 countrie,country
 coutnry,country
 counrty,country
nevr,never
 nevar,never
 nerer,never
 nerver,never
 newver,never
 nevor,never
 navir,never
 navear,never
 navur,never
 nevir,never
fcat,fact
 facs,fact
 fackt,fact
 facte,fact
 facct,fact
 facket,fact
 fatac,fact
 facat,fact
 fakkct,fact
 fackct,fact
goy,go
